5645,Kasturi Ram Science and Technological Park Limited,CRISIL B,27-May-14,CRISIL D,16-Oct-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5646,Kasukurthi Sujatha Constructions Private Limited,CRISIL BB+/CRISIL A4,29-Jun-09,"CRISIL BB+/CRISILA4+",15-Sep-09,"CRISIL BBB-/CRISILA3",29-Jun-11,"CRISILBBB/CRISIL A3+",4-Sep-14,"CRISILBBB+/CRISILA2",8-May-15,"CRISIL BBB-/CRISIL A3",9-May-16,,,,,,,,,,,,,,,,,,,,,,,,,,
5647,Kasyap Sweetners Limited,CRISIL A-/CRISIL A2+,30-Mar-09,CRISIL A/CRISIL A1,8-May-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5648,Katare Cotton Waste Spinning Mills,CRISIL B+,15-Apr-15,CRISIL D,28-Oct-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5649,Kataria Automobiles Private Limited,CRISIL BB+/CRISIL A4,13-Apr-09,"CRISIL BB+/CRISILA4+",15-Sep-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5650,Kataria Carriers,CRISIL BB+/CRISIL A4+,20-Jan-12,"CRISIL BBB-/CRISILA3",5-Dec-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5651,Kataria Constructions Private Limited,CRISIL BB-,29-Jun-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5652,Kataria Movers,CRISIL BB,30-Aug-14,CRISIL BB+,28-Sep-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5653,Katheri Industrial Private Limited,CRISIL BB,29-Jul-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5654,Kathiawar Steels,CRISIL BB-/CRISIL A4+,29-Jun-12,"CRISIL B+/CRISILA4",30-Oct-15,"CRISIL BB-/CRISILA4+",13-Feb-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5655,Katiyar Cold Storage Private Limited,CRISIL B,28-Apr-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5656,Katni Realty Private Limited,CRISIL BB-,11-Mar-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5657,Katti-Ma Exports Private Limited,CRISIL BB/CRISIL A4+,3-Feb-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5658,Katyaini Products Private Limited,CRISIL BB/CRISIL A4+,31-Jan-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5659,Katyayini Paper Mills Private Limited,CRISIL BB/CRISIL A4+,30-May-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5660,Kaur Sain Spinning Mills,CRISIL B/CRISIL A4,23-Feb-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5661,Kausalya Agencies,CRISIL BB+,25-Nov-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5662,Kaushal Ferro Metal Private Limited,CRISIL D,10-Mar-10,CRISIL D/CRISIL D,7-May-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5663,Kaushalya Roller Flour Mills Private Limited,CRISIL B,9-Mar-12,CRISIL B+,14-Feb-14,CRISIL BB-,19-Jan-15,CRISIL BB,4-Dec-15,CRISIL BB-,16-Mar-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5664,Kaushalya Spinners,CRISIL B+,3-Mar-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5665,Kausikh Therapeutics Private Limited,CRISIL B+,5-Oct-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5666,Kaveri Ceramic,CRISIL BB-/CRISIL A4+,27-Oct-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5667,Kaveri Cotton Industries,CRISIL B,11-Dec-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5668,Kaveri Infraprojects Private Limited,CRISIL BB-/CRISIL A4+,2-Apr-13,"CRISIL BB+/CRISILA4+",3-May-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5669,Kaveri Tubes,CRISIL BB+/CRISIL A4+,7-Oct-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5670,Kavi Poultrie,CRISIL BB-,22-Jun-15,Suspended,5-Dec-16,CRISIL BB,24-Feb-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5671,Kavi Protein and Feed Private Limited,CRISIL BB/CRISIL A4+,29-Sep-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5672,Kavit Industries,CRISIL B-/CRISIL A4,30-Jan-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5673,Kavita Industries,CRISIL BB-/CRISIL A4+,28-Jun-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5674,Kavita Women Wear Private Limited,CRISIL BB-,28-Oct-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5675,Kavumkal Road Builders,CRISIL B,22-Jul-14,Suspended,15-Dec-15,CRISIL B/CRISIL A4,25-Aug-16,"CRISIL B+/CRISILA4",20-Mar-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5676,Kavya Buildcon Private Limited,CRISIL B,23-Dec-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5677,Kavyarc Tradex Private Limited,CRISIL B,15-May-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5678,Kawarlal and Company,CRISIL BB/CRISIL A4+,19-Dec-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5679,Kay Bee Cotgin Private Limited,CRISIL B-,19-Jul-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5680,Kay Bee Industrial Alloys Private Limited,CRISIL BBB+/CRISIL A2,18-Oct-11,Suspended,14-Nov-13,"CRISIL BBB+/CRISILA2",4-Mar-14,Suspended,9-Dec-15,"CRISILBBB/CRISILA3+",25-Nov-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5681,Kay Cee Enterprises - Delhi,CRISIL B-,20-Jan-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5682,Kay Kay Trading Co.,CRISIL BB-/CRISIL A4+,16-Dec-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5683,Kayathri Consultants Private Limited,CRISIL B/CRISIL A4,30-Sep-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5684,Kaycee Industries,CRISIL B+/CRISIL A4,9-Mar-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5685,Kaypee Metals and Alloys Private Limited,CRISIL B/CRISIL A4,22-Sep-09,"CRISIL B+/CRISILA4",30-Sep-10,"CRISIL BB-/CRISILA4+",28-Nov-12,"CRISIL BB/CRISILA4+",25-Aug-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5686,KB Board Mills LLP,CRISIL BB-,22-Dec-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5687,KB Lubes Private Limited,CRISIL B,4-Sep-15,CRISIL D,2-Dec-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5688,KBN Gold and Diamond Jewellery,CRISIL B,9-Dec-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5689,KBR Homes India Private Limited,CRISIL B+,6-Feb-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5690,KBR Infratech Limited,CRISIL BB+/CRISIL A4+,22-Sep-11,"CRISIL BBB-/CRISILA3",15-Oct-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5691,KCC Lateri Expressway Private Limited,CRISIL BBB-,18-Mar-14,CRISIL BBB,25-Aug-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5692,KCC Roads Construction Private Limited,CRISIL BBB-,6-Oct-14,CRISIL BBB,17-Feb-16,CRISIL A-,27-Feb-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5693,KCL Limited,CRISIL BBB/CRISIL A3+,27-May-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5694,KCRM FOODS Cont:Kalyana Chakravarthi Rice Mill,CRISIL B/CRISIL A4,7-Apr-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5695,KCS Private Limited,CRISIL B,2-Dec-11,"CRISIL B-/CRISILA4",25-Jan-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5696,KD Iron and Steel Company,CRISIL BBB+,17-Mar-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5697,KDDL Limited,CRISIL BBB-/CRISIL A3,15-Nov-12,"CRISIL BB+/CRISILA4+",17-Sep-13,"CRISILBB+/FB+/CRISIL A4+",7-Nov-14,"CRISIL BBB-/FA-/CRISIL A3",25-Feb-15,"CRISIL BBB/FA-/CRISIL A3+",15-Dec-15,"CRISIL BBB-/FA-/CRISIL A3",27-Dec-16,,,,,,,,,,,,,,,,,,,,,,,,,,
5698,KDP Infrastructure Private Limited,CRISIL BB-,3-Jul-12,Suspended,16-Dec-14,CRISIL BB-,30-Sep-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5699,Keaa International Private Limited,CRISIL B+/CRISIL A4,20-Dec-13,"CRISIL BB-/CRISILA4+",17-Oct-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5700,Keaum Organics Private Limited,CRISIL B-/CRISIL A4,27-Apr-12,CRISIL B/CRISIL A4,25-Mar-14,CRISIL B-/CRISIL A4,27-Mar-15,CRISIL D/CRISIL,23-Mar-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5701,Kedareshwar Fibers,CRISIL BB-,24-Sep-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5702,Kedarnath Cottons Private Limited,CRISIL B,25-Mar-10,CRISIL D,28-Jan-11,CRISIL B,5-Apr-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5703,Kedia Guar Gum Private Limited,CRISIL B,28-Oct-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5704,Keechery Engineering Co.,CRISIL BB-/CRISIL A4+,1-Apr-15,CRISIL BB-,13-Apr-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5705,Keen and Core Developers,CRISIL B-/CRISIL A4,23-Dec-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5706,Keerthi Rice Industries,CRISIL B+,30-Mar-13,CRISIL BB-,24-Nov-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5707,KEF Infrastructure India Private Limited,CRISIL BB-/CRISIL A4+,31-May-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5708,Keggfarms Private Limited,CRISIL BB-,9-Jul-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5709,Kejriwal Dyeing and Printing Mills Private Limited,CRISIL BBB-,24-Apr-12,CRISIL BBB,12-Jun-13,CRISIL BBB+,28-May-15,"CRISILBBB+/CRISIL A2",21-Jul-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5710,Kejriwal Geotech Private Limited,CRISIL BBB-,24-Apr-12,CRISIL BBB,12-Jun-13,CRISIL BBB+,28-May-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5711,Kejriwal Industries Limited,CRISIL BBB-/CRISIL A3,31-Mar-11,"CRISIL BBB/CRISILA3+",12-Jun-13,"CRISIL BBB+/CRISILA2",28-May-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5712,Keltech Infrastructure Limited,CRISIL B,16-Aug-13,CRISIL D,9-Dec-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5713,Kemtec India Photographic Co Pvt Ltd,CRISIL BB/CRISIL A4+,5-Feb-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5714,Kenersys India Private Limited,CRISIL D/CRISIL D,13-Jan-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5715,Kenmore Shoes Private Limited,CRISIL BB/CRISIL A4+,25-Feb-11,"CRISIL BB+/CRISILA4+",24-May-13,"CRISIL BBB-/CRISILA3",25-Jul-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5716,Kennametal India Limited,CRISIL A1,1-Aug-93,CRISIL A1+,9-Sep-97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5717,Kenox Agro Industries Private Limited,CRISIL B/CRISIL A4,28-Mar-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sr. No,Name of the Issuer,Initial Rating,Date of Initial Rating,"Rating after 1stRevision","Date of 1stRevision","Rating after 2ndRevision","Date of 2ndRevision","Rating after 3rdRevision","Date of 3rdRevision","Rating after 4thRevision","Date of 4thRevision","Rating after 5thRevision","Date of 5thRevision","Rating after 6thRevision","Date of 6thRevision","Rating after 7thRevision","Date of 7thRevision","Rating after 8thRevision","Date of 8thRevision","Rating after 9thRevision","Date of 9thRevision","Rating after 10thRevision","Date of 10thRevision","Rating after 11thRevision","Date of 11thRevision","Rating after 12thRevision","Date of 12thRevision","Rating after 13thRevision","Date of 13thRevision","Rating after 14thRevision","Date of 14thRevision","Rating after 15thRevision","Date of 15thRevision","Rating after 16thRevision","Date of 16thRevision","Rating after 17thRevision","Date of 17thRevision","Rating after 18thRevision","Date of 18thRevision"
5718,Kenz Inn Commercial Complex Limited,CRISIL BB-,31-Dec-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5719,Kerala Cars Private Limited,CRISIL BB+/CRISIL A4+,16-Nov-11,CRISIL BB+,11-Jan-13,CRISIL BB,1-Jun-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5720,Kerala Electrical and Allied Engg. Co. Limited,CRISIL B/CRISIL A4,24-Sep-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5721,"Kerala State Co-Operative Agricultural and RuralDevelopment Bank Limited",CRISIL BB+,25-Mar-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5722,Kerala Transport Company,CRISIL B+/CRISIL A4,14-Dec-11,CRISIL B/CRISIL A4,8-Sep-14,CRISIL B+/CRISIL A4,20-Oct-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5723,Kernex Microsystems India Limited,CRISIL B-/CRISIL A4,23-Jun-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5724,Kesar Alloys and Metals Private Limited,CRISIL BB/CRISIL A4+,25-Jul-14,CRISIL B/CRISIL A4,26-Nov-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5725,Kesar Petroproducts Limited,CRISIL BB+,1-Oct-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5726,Kesar Steel Corporation,CRISIL B+/CRISIL A4,23-Jun-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5727,Kesh Knitwear Private Limited,CRISIL BB-/CRISIL A4+,16-Dec-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5728,Keshav Cotton Corporation,CRISIL B,11-Feb-14,CRISIL B+,19-Aug-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5729,Keshav Cotton Industries,CRISIL B+,31-Jan-14,CRISIL B,23-Jan-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5730,Keshav Enterprises,CRISIL B/CRISIL A4,17-Dec-12,"CRISIL B-/CRISILA4",30-Jul-14,CRISIL D/CRISIL D,24-Jun-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5731,Keshav Ginning and Pressing Factory,CRISIL BB,20-Apr-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5732,Keshav Greens,CRISIL B,11-Aug-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5733,Keshav Madhav Agro Enterprises Private Limited,CRISIL BB-,14-Dec-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5734,Keshav Pulses,CRISIL B+,17-Mar-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5735,Keshava Enterprises,CRISIL BB-,29-Feb-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5736,Keshava Fabrics Private Limited,CRISIL B/CRISIL A4,31-Oct-11,"CRISIL B+/CRISILA4",8-Jan-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5737,Keshava Medi Devices Private Limited,CRISIL B+/CRISIL A4,31-Jan-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5738,Kesho Packaging Private Limited,CRISIL BB+,30-Mar-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5739,Kesho Ram Industries,CRISIL B+/CRISIL A4,25-Nov-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5740,Keshodwala Foods,CRISIL A4,25-Jan-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5741,Keshranand Cotex Private Limited,CRISIL B+,12-Sep-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5742,"Keshranand Ginning and Pressing Factory PrivateLimited",CRISIL B+,14-Jan-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5743,Keshvi Developers Private Limited,CRISIL BB-,20-Jun-14,CRISIL D,16-Dec-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5744,Ketan Brothers Diamondz Exports,CRISIL BBB,31-Mar-14,CRISIL BBB-,22-Jun-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5745,Ketan Motors Private Limited,CRISIL BBB-/CRISIL A3,25-Jan-12,CRISIL BBB-,17-Apr-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5746,Ketul Chem Private Limited,CRISIL BBB-/CRISIL A3,20-Mar-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5747,Keva Fragrances Private Limited,CRISIL A-,29-Sep-11,CRISIL A,15-Nov-12,CRISIL A+,23-Nov-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5748,Kevin India Co,CRISIL B+,25-Oct-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5749,Kevin Metpack Private Limited,CRISIL B-,31-Dec-12,CRISIL B,4-Jun-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5750,Kevin Process Technologies Private Limited,CRISIL BB+/CRISIL A4+,8-Jun-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5751,KEW Industries Limited,CRISIL D,18-Jul-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5752,Kewal Kiran Clothing Limited,CRISIL A/CRISIL A1,12-Mar-08,"CRISIL A+/CRISILA1+",29-Oct-10,CRISIL A+,28-Jan-13,CRISIL AA-,26-Dec-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5753,Kewin Chemicals Private Limited,CRISIL B+/CRISIL A4,17-Dec-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5754,Key Tech,CRISIL BB+,24-Sep-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5755,Keya Realty,CRISIL BB,28-Apr-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5756,Keya Seth Ayurvedic Solution Private Limited,CRISIL BB-,28-Nov-14,CRISIL BB,17-Mar-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5757,Keya Seth's Ayurvedic Solution (Cosmetic Division),CRISIL BB+,28-Nov-14,CRISIL BBB-,17-Mar-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5758,Keya Seths Marketing,CRISIL BBB-,18-Mar-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5759,Keystones Infra-Con (India) Private Limited,CRISIL BB-,2-Mar-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5760,Keyur Industries,CRISIL BB-/CRISIL A4+,3-Aug-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5761,KF Biotech Private Limited,CRISIL BB-,12-Feb-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5762,KF Farms Private Limited,CRISIL B+,12-Feb-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5763,KG Information Systems Private Limited,CRISIL BBB-,8-Apr-10,"CRISIL BBB/CRISILA3+",4-Dec-13,CRISIL BBB,9-Aug-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5764,KG Iron and Steel Castings Private Limited,CRISIL B+,17-May-13,CRISIL B-,18-Jan-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5765,KG Multispeciality Hospital & Research Centre,CRISIL B,26-Apr-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5766,KGK Creations (India) Pvt. Ltd.,CRISIL BBB-,11-Jan-10,"CRISIL BBB-/CRISILA3",19-Jul-11,"CRISIL BBB/CRISILA3+",4-Feb-14,CRISIL BBB,27-Mar-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5767,KGK Creations Pvt. Ltd.,CRISIL A3,11-Jan-10,"CRISIL BBB/CRISILA3+",31-Jan-14,CRISIL BBB,27-Mar-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5768,KGK Diamonds (I) Pvt. Ltd.,CRISIL A3,11-Jan-10,"CRISIL BBB/CRISILA3+",31-Jan-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5769,KGK Gems Private Limited,CRISIL BBB,22-Nov-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5770,KGPS Mechanical Private Limited,CRISIL B/CRISIL A4,8-Feb-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5771,KGS Nelsun Paper Mill Limited,CRISIL B-,30-Jan-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5772,KH Foges India Private Limited,CRISIL B/CRISIL A4,30-Jan-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5773,Khaja Education Society,CRISIL B/CRISIL A4,30-May-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5774,Khaja Moideen Leather Company,CRISIL BB-/CRISIL A4+,1-Aug-14,"CRISIL B+/CRISILA4",17-Aug-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5775,Khalatkar Construction,CRISIL BB/CRISIL A4+,30-Jan-14,CRISIL BB,5-May-15,"CRISIL BB/CRISILA4+",14-Mar-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5776,Khandelwal Brass Industries,CRISIL BB,3-Nov-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5777,Khandelwal Cables Limited,CRISIL BB-,10-Aug-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5778,Khandelwal Edible Oils Limited,CRISIL BBB-,12-Mar-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5779,Khandelwal Ginning and Pressing,CRISIL B+,24-Jun-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5780,Khandelwal Ginning and Pressing - Amarawati,CRISIL B+,23-Mar-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5781,Khandelwal Steel Industries,CRISIL B+/CRISIL A4,21-Nov-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5782,Khandesh College Education Society,CRISIL BB+,7-Sep-12,CRISIL BBB-,12-Nov-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5783,Khanna Builders and Developers,CRISIL B,30-Nov-12,CRISIL D,8-Feb-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5784,Khanna Hotels Private Limited,CRISIL BBB+/CRISIL A2,11-Mar-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5785,Khanna Properties and Infrastructures Private Limited,CRISIL B,29-May-12,CRISIL D,8-Feb-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5786,Kharagpur Metal Reforming Industries Private Limited,CRISIL BBB-/CRISIL A3,24-Jun-11,"CRISIL BBB/CRISILA3+",31-Aug-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5787,Khator Fibre and Fabrics Limited,CRISIL BB/CRISIL A4+,29-Nov-14,"CRISIL BB-/CRISILA4+",14-Oct-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5788,Khator Technical Textiles Private Limited,CRISIL BB-/CRISIL A4+,25-Nov-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5789,Khatuco Export India Private Limited,CRISIL B+/CRISIL A4,2-May-14,"CRISIL BB-/CRISILA4+",19-Jul-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5790,Khayati Steel Industries Private Limited,CRISIL B+,23-Aug-11,CRISIL BB+,15-Nov-12,"CRISIL BB+/CRISILA4+",26-Nov-12,"CRISIL BBB-/CRISIL A3",21-Apr-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5791,Khazanchi Jewellers Private Limited,CRISIL BB,3-Sep-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5792,Khedut Agro Engineering Private Limited,CRISIL BB-,10-Sep-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5793,Khetan Pack Fine Private Limited,CRISIL BB,27-Aug-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5794,Khetan Tiles Private Limited,CRISIL BB+/CRISIL A4+,4-Jan-11,CRISIL BB+,3-May-13,CRISIL BB-,29-Oct-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5795,Khilari Infrastructure Private Limited,CRISIL BBB-/CRISIL A3,24-Jan-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5796,Khimji-K.D. and Sons Private Limited,CRISIL BBB-,24-Nov-10,CRISIL BBB,13-Oct-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5797,KHR Infrastructures Private Limited,CRISIL D,8-Feb-12,CRISIL B,20-Dec-12,CRISIL B+,3-Mar-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5798,Khudiram Cold Storage Private Limited,CRISIL B/CRISIL A4,22-Sep-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5799,Khukhrain Builders,CRISIL BB-/CRISIL A4+,24-Sep-14,"CRISIL B+/CRISILA4",30-Jan-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5800,Khukhrain Cold Storage & Ice Factory,CRISIL B+/CRISIL A4,16-Jul-15,CRISIL B,31-Aug-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
